service_adm_nom_service,service_adm_adr1_service,service_adm_adr2_service,service_adm_cp_service,service_adm_ville_service
DREAL CENTRE-VAL DE LOIRE/SMT/DTRV/UAPGE ,5 Avenue BUFFON,,45064,ORLEANS CEDEX 2
P.C.R.H,1 rue Michel Royer,,45100,ORLÉANS
LIFO ,6 avenue Léonard de Vinci, ,45067,ORLÉANS
ACHILLE SOLUTIONS,1 Avenue du champ de mars ,,45100,ORLÉANS
WELABZ SAS,7 rue des Lavandières,,45100,ORLÉANS
O'PETIT PRIX,1 rue jean louvet,,45000,ORLÉANS
GROUPE BERNIER ,540 RUE DE LA BERGERESSE,,45160,OLIVET
4WARE SOFTWARE,30 RUE DU PETIT VOMIMBERT,,45800,SAINT-JEAN-DE-BRAYE
REX-ROTARY,73 rue des sables de sary,,45770,SARAN
COOPÉRATIVE AGRICOLE FRUITIÈRE MARAICHÈRE LA MELBA,Avenue Maréchal Joffre,,66130,BOULETERNERE
3ZA INTECH ,1 avenue du Champ de Mars, ,45100,ORLÉANS 
AMAP MALAKOFF HUMANIS,303 rue Gabriel Debacq,,45770,SARAN
ETABLISSEMENT PUBLIC DE SANTE MENTALE DU LOIRET GEORGES DAUMÉZON,1 route de Chanteau,BP 62016,45402,FLEURY LES AUBRAIS
SERVICE SCOLARITÉ,10 rue de Tours,BP46527,45065,ORLEANS CEDEX 2
XCPH ORGANISATION,19 RUE JEAN MOULIN ,,45100,ORLEANS
VALEO COMFORT AND DRIVING ASSISTANCE,6 rue Daniel Costantini,,94000,CRÉTEIL
ORDIPRO 72,101 Rue de Valence,,72000,LE MANS
LIFO ,6 avenue Léonard de Vinci, ,45067,ORLÉANS
SERVICE SCOLARITÉ,10 rue de Tours,BP46527,45065,ORLEANS CEDEX 2
ST MICROELECTRONICS SAS ,10 rue Thalès de Milet,CS 97155 ,37100,TOURS
C.N.R.S. ,3 rue Michel Ange, ,75794,PARIS CEDEX 16
C.N.R.S. ,3 rue Michel Ange, ,75794,PARIS CEDEX 16
PAULSTRA HUTCHINSON ,26 boulevard de Périgondas, ,28207,CHATEAUDUN CEDEX
REDEX ,1 rue Paul Defontenay, ,45210,FERRIERES-EN-GATINAIS
SERVICE SCOLARITÉ,10 rue de Tours,BP46527,45065,ORLEANS CEDEX 2
SECRÉTARIAT GÉNÉRAL DE LA DÉFENSE ET DE LA SÉCURITÉ NATIONALE,51 boulevard de la Tour Maubourg,,75007,PARIS
