service_adm_nom_service,service_adm_adr1_service,service_adm_adr2_service,service_adm_cp_service,service_adm_ville_service
EPASTELSOFT,2 B RUE ALFRED NOBEL  ,,77420,CHAMPS-SUR-MARNE
IUT ORLÉANS,16 rue d'Issoudun,,45067,ORLÉANS CEDEX 2
CHARTRES MÉTROPOLE INNOVATIONS NUMÉRIQUES (CM'IN),Place des Halles,,28000,CHARTRES
LEROY SOMER MOTEURS ,Boulevard Marcellin Leroy , ,16015,ANGOULÈME CEDEX
LEGABASE,40 Avenue Felix Faure,,69003,LYON
LOGING SAS GROUPE ADHARA ,33 rue de l'Olivier, ,45770,SARAN
ERGOSANTE,28 ZA DE Labahou,,30140,ANDUZE
SERVICE SCOLARITÉ,10 rue de Tours,BP46527,45065,ORLEANS CEDEX 2
CENTRE HOSPITALIER REGIONAL D'ORLEANS,14 avenue de l'Hôpital CS 86709,,45100,ORLÉANS 
HUTCHINSON,BP - 31 RUE GUSTAVE NOURRY,,45120,CHALETTE SUR LOING
SERVICE SCOLARITÉ,10 rue de Tours,BP46527,45065,ORLEANS CEDEX 2
SODILEC,ZA les Pointards,2 Chemin des Bouleaux,18410,BRINON-SUR-SAULDRE
UXEN,7 rue Vieille Levée,,45100,ORLÉANS
JULIEN MIALON,84 rue de la paix,,59110,LA MADELAINE
INSEE ,131 rue du Faubourg Bannier, Cité administrative Coligny,45000,ORLÉANS
SYSTÈMES ET CONNECTIQUE DU MANS (SCM) ,ZAC Du Monn,Rue du Champ du Verger,72700,ALLONNE
COVEA,86 rue Saint Lazare,,75009,PARIS
HELYX,28 BOULEVARD BENONI GOULIN,,44200,NANTES
E-DECLIC,32 Rue du Danemark,Porte Oceane 2,56400,BRECH
HAISOFT ,7 rue Vieille Levée, ,45100,ORLÉANS
THALES AIR SYSTEMS SAS ,29 rue de Montaran, ,45400,FLEURY-LES-AUBRAIS
POLE EMPLOI,53 bis route d'orléans,,45380,LA CHAPELLE SAINT-MESMIN
CONSEIL DEPARTEMENTAL DU LOIRET,15 RUE Eugène Vignat,,45000,Orléans
LVMH RECHERCHE,185 AV DE VERDUN,,45800,SAINT-JEAN-DE-BRAYE
EPHESIA CONSULT SAS,123 Grande Rue,,25000,BESANÇON
STATIGEST,71 rue Etienne Dolet,, 9414,ALFORTVILLE
LEGABASE,40 Avenue Felix Faure,,69003,LYON
Département de la Vienne,Place Aristide Briand,,86000,POITIERS
SERVICE SCOLARITÉ,10 rue de Tours,BP46527,45065,ORLEANS CEDEX 2
LABORATOIRE LIGÉRIEN DE LINGUISTIQUE,UFR Lettres Langues et Sciences Humain,10 rue de Tours,45065,ORLÉANS
ETABLISSEMENT PUBLIC DE SANTE MENTALE DU LOIRET GEORGES DAUMÉZON,1 route de Chanteau,BP 62016,45402,FLEURY LES AUBRAIS
SERVICE SCOLARITÉ,10 rue de Tours,BP46527,45065,ORLEANS CEDEX 2
CONSEIL DEPARTEMENTAL DU LOIRET,15 RUE Eugène Vignat,,45000,Orléans
OBSERVATOIRE DE L'ECONOMIE ET DES TERRITPORES,34 avenue du Mal Maunoury ,,41000,BLOIS 
SERVICE SCOLARITÉ,10 rue de Tours,BP46527,45065,ORLEANS CEDEX 2
NEXTER MUNITIONS,7 ROUTE DE GUERRY,CS 90328 ,18023,BOURGES
ANTEA GROUP,803 boulevard Duhamel du Monceau,Z.A.C. du Moulin,45166,OLIVET CEDEX
SNCF RÉSEAU ,15 Rue Jean Philippe Rameau ,,93200,SAINT-DENIS
BPDL,2 rue du marronnier ,,28260,BERCHÈRES SUR VESGRE
ATELIER DU LOGICIEL (A.D.L), 4 Allée des Cedres,,78370,PLAISIR
CENTRE HOSPITALIER PIERRE DEZARNAULDS ,2 avenue Jean Villejean , BP89 ,45503,GIEN Cedex
BATIMENT 3IA SERVICE ASTN/LLL,6 rue Léonard de Vinci,,45065,ORLÉANS
UNITÉ D'ORLÉANS - SARAN,La Foulonnerie,1 rue John Deere,45400,FLEURY-LES-AUBRAIS
LABORATOIRE PRISME ,8 rue Léonard de Vinci, ,45072,Orléans
GLOWME,14 B RUE CHARLES BOUDEVILLE ,,60110,MERU
C.N.R.S. - LABORATOIRE DE PHYSIQUE ET DE CHIMIE DE L'ENVIRONNEMENT ET DE L'ESPACE (L.P.C.2.E.),Délégation Centre Poitou-Charentes,3A avenue de la Recherche Scientifique,45071,ORLÉANS 
SERVICE SCOLARITÉ,10 rue de Tours,BP46527,45065,ORLEANS CEDEX 2
DARVA,245 Rue du Stade,,79180,CHAURAY
C.N.R.S. - LABORATOIRE DE PHYSIQUE ET DE CHIMIE DE L'ENVIRONNEMENT ET DE L'ESPACE (L.P.C.2.E.),Délégation Centre Poitou-Charentes,3A avenue de la Recherche Scientifique,45071,ORLÉANS 
ARVAL FLEET SERVICES,1 Boulevard Haussman ,,75009,PARIS
ORLÉANS NORD IMMOBILIER ,10 Passage de l'Hôtel de Ville,,45800,SAINT JEAN DE BRAYE
SERVICE SCOLARITÉ,10 rue de Tours,BP46527,45065,ORLEANS CEDEX 2
